pupid,educ_attain,treat,schid,grade,winn01,winn02,age01,test00,test01,test02,c1,weight,in_school,math,cognitive,vocab
2225005,8,0,222,5,0,0,13,NA,NA,NA,0,1,0,0.12390250712633133,-0.18346038460731506,0.5339580178260803
2225006,7,0,222,5,0,0,13,-0.6351509094238281,NA,-0.3184565305709839,0,1,0,-0.7974911332130432,-0.3594059944152832,-1.4339685440063477
2225007,9,0,222,5,0,0,10,NA,NA,NA,0,1,1,0.12390250712633133,-1.7669708728790283,0.35505563020706177
2225010,7,0,222,5,0,0,13,-0.9491934180259705,NA,-0.8575177788734436,0,1,0,-1.7188847064971924,-0.5353516340255737,-0.5394564867019653
2225013,8,0,222,5,0,0,11,-0.8146037459373474,NA,NA,0,1,0,0.7381649017333984,-0.5353516340255737,-0.18165162205696106
2225016,7,0,222,5,0,0,14,-0.9043301939964294,NA,NA,0,1,1,-1.1046223640441895,-1.9429165124893188,-1.4339685440063477
2225017,6,0,222,5,0,0,14,-0.9491934180259705,NA,NA,0,5,0,-2.6402783393859863,-1.7669708728790283,-2.3284807205200195
2225020,9,0,222,5,0,0,12,-0.6351509094238281,NA,-0.09039214998483658,0,1,1,0.12390250712633133,1.400050163269043,1.0706652402877808
2225024,7,0,222,5,0,0,12,-0.6800141334533691,NA,-0.8575177788734436,0,1,1,1.352427363395691,-0.18346038460731506,-0.5394564867019653
2225029,8,0,222,5,0,0,11,0.9799250960350037,NA,-0.007459649816155434,0,1,0,1.352427363395691,1.2241045236587524,0.7128604650497437
2225038,7,0,222,5,0,0,13,-0.971625030040741,NA,-0.3806558847427368,0,1,1,0.4310337007045746,-0.88724285364151,0.5339580178260803
2226004,8,0,222,6,0,0,15,-0.6192705631256104,-0.19657959043979645,-0.9325536489486694,1,1,0,-0.490359902381897,-0.3594059944152832,-1.255066156387329
2226005,6,0,222,6,0,0,16,-1.3761975765228271,NA,-1.1384958028793335,1,1,0,-0.490359902381897,-0.007514761295169592,-2.6862854957580566
2226010,7,0,222,6,0,0,14,NA,NA,NA,1,5,0,-0.18322870135307312,-1.2391340732574463,-0.360554039478302
2226015,8,0,222,6,0,0,14,0.06002290919423103,0.7067914605140686,NA,1,1,0,0.4310337007045746,0.6962677240371704,0.7128604650497437
2226022,9,0,222,6,0,0,14,-0.11465255916118622,0.10454408824443817,NA,1,1,1,-0.7974911332130432,-0.7112972140312195,-0.0027492118533700705
2226023,9,0,222,6,0,0,15,0.06002290919423103,-0.07613012194633484,NA,1,1,1,-0.18322870135307312,-0.5353516340255737,0.35505563020706177
2226025,8,0,222,6,0,0,15,-0.4640035033226013,-0.6984524130821228,NA,1,1,0,-0.7974911332130432,-0.5353516340255737,-0.360554039478302
2226026,7,0,222,6,0,0,15,-1.2015221118927002,NA,NA,1,1,0,-1.7188847064971924,-1.0631884336471558,-1.9706758260726929
2226027,6,0,222,6,0,0,15,-0.4640035033226013,NA,NA,1,1,0,-0.18322870135307312,-1.2391340732574463,-1.6128709316253662
2226030,9,0,222,6,0,0,16,-0.7163125276565552,0.22499357163906097,NA,1,1,1,0.7381649017333984,0.8722133040428162,0.7128604650497437
2226033,8,0,222,6,0,0,14,-0.9298047423362732,-0.6181527376174927,NA,1,1,0,-0.490359902381897,-0.88724285364151,-0.7183588743209839
2226034,7,0,222,6,0,0,13,0.0017977521056309342,-0.37725380063056946,NA,1,1,0,-0.18322870135307312,0.5203220844268799,0.17615319788455963
2226037,10,0,222,6,0,0,13,NA,2.413159132003784,NA,1,1,1,1.6595585346221924,1.048158884048462,1.7862749099731445
2226039,8,0,222,6,0,0,13,-0.9492131471633911,-0.5378531217575073,0.15893955528736115,1,1,1,-0.490359902381897,1.2241045236587524,-0.0027492118533700705
2226040,10,0,222,6,0,0,14,-0.3669615685939789,0.08446917682886124,NA,1,1,1,-0.490359902381897,-0.88724285364151,1.4284701347351074
2226042,7,0,222,6,0,0,15,-0.9103963375091553,NA,NA,1,1,0,-0.490359902381897,-0.3594059944152832,-0.360554039478302
2235001,7,1,223,5,0,0,14,NA,NA,-1.209980845451355,0,1,1,-0.490359902381897,-0.7112972140312195,-1.0761637687683105
2235002,4,1,223,5,0,0,13,NA,NA,NA,0,5,0,-2.3331470489501953,-1.5910253524780273,-2.507383108139038
2235004,8,1,223,5,0,0,13,-1.3080992698669434,NA,NA,0,1,1,-1.411753535270691,-1.2391340732574463,0.5339580178260803
2235005,8,1,223,5,0,0,13,-0.321108341217041,NA,-0.27699026465415955,0,1,1,1.352427363395691,1.5759958028793335,0.17615319788455963
2235006,7,1,223,5,0,0,14,-0.5229928493499756,NA,-0.4013890027999878,0,1,1,-2.0260159969329834,-0.5353516340255737,-0.18165162205696106
2235011,8,1,223,5,0,0,12,-1.2183728218078613,NA,-0.8989840149879456,0,1,1,0.4310337007045746,0.8722133040428162,-0.18165162205696106
2235012,7,1,223,5,0,0,13,-0.7024457454681396,NA,NA,0,1,1,0.4310337007045746,0.1684308499097824,-0.0027492118533700705
2235014,8,1,223,5,0,0,13,-0.971625030040741,NA,-0.4635883867740631,0,1,1,-0.490359902381897,0.1684308499097824,0.5339580178260803
2235016,7,1,223,5,0,0,13,NA,NA,NA,0,1,1,-0.490359902381897,-2.1188621520996094,-1.9706758260726929
2235017,8,1,223,5,0,0,13,-0.6575825214385986,NA,-0.3806558847427368,0,1,1,-0.490359902381897,-0.18346038460731506,-0.0027492118533700705
2235019,7,1,223,5,0,0,11,-1.2632360458374023,NA,-1.0233827829360962,0,1,1,0.12390250712633133,-1.4150797128677368,0.7128604650497437
2235021,5,1,223,5,0,0,13,-1.5548468828201294,NA,NA,0,1,0,-1.411753535270691,-1.5910253524780273,-1.7917733192443848
